Supercharger,Street Address,City,State,city_state,Zip,Country,Stalls,GPS,Elev,Status,Open Date,Tesla,Thread
"Cadillac, MI",8605 34 Rd,Cadillac,MI,Cadillac_MI,49601,USA,8,"44.282551, -85.403096",393,Open,23-Dec-15,SC,thread
"Port Hope, ON",Northumberland County Rd 28,Port Hope,ON,Port Hope_ON,,Canada,8,"43.97171, -78.285431",108,Open,20-Dec-15,SC,thread
"Plantation, FL",813 S University Dr,Plantation,FL,Plantation_FL,33324,USA,8,"26.108976, -80.250883",1,Open,19-Dec-15,SC,thread
"Lexington, VA",880 N. Lee Highway,Lexington,VA,Lexington_VA,,USA,6,"37.796979, -79.419007",319,Open,16-Dec-15,SC,thread
"Asheville, NC",800 Brevard Road,Asheville,NC,Asheville_NC,,USA,8,"35.531391, -82.604487",662,Open,16-Dec-15,SC,thread
"Burbank, CA",811 S San Fernando Blvd,Burbank,CA,Burbank_CA,91502,USA,6,"34.174712, -118.300826",168,Open,15-Dec-15,SC,thread
"Tannersville, PA",1000 Premium Outlets Dr,Tannersville,PA,Tannersville_PA,18372,USA,8,"41.045431, -75.312244",284,Open,14-Dec-15,SC,thread
"Augusta, ME",13 Stephen King Dr.,Augusta,ME,Augusta_ME,4330,USA,8,"44.34787, -69.786088",96,Open,04-Dec-15,SC,thread
"Kingsland, GA",Kingsland Welcome Center 1190 East Boone Ave,Kingsland,GA,Kingsland_GA,31548,USA,6,"30.790764, -81.663729",8,Open,18-Nov-15,SC,thread
"Greenville, SC",108 Carolina Point Pkwy,Greenville,SC,Greenville_SC,29607,USA,8,"34.825895, -82.306973",304,Open,09-Nov-15,SC,thread
"Amarillo, TX",8271 W Amarillo Blvd,Amarillo,TX,Amarillo_TX,79124,USA,8,"35.189035, -101.931478","1,134",Open,05-Nov-15,SC,thread
"Denton, TX",2710 W University Dr,Denton,TX,Denton_TX,76201,USA,6,"33.231403, -97.166419",212,Open,04-Nov-15,SC,thread
"South Burlington, VT",222 Dorset St,South Burlington,VT,South Burlington_VT,5403,USA,8,"44.463327, -73.180184",94,Open,04-Nov-15,SC,thread
"Sandy, OR",16625 SE 362nd Dr,Sandy,OR,Sandy_OR,97055,USA,8,"45.403531, -122.294242",236,Open,04-Nov-15,SC,thread
"Binghamton, NY",1062 Front St,Binghamton,NY,Binghamton_NY,13905,USA,8,"42.145553, -75.901755",262,Open,01-Nov-15,SC,thread
"Twin Falls, ID","Twin Falls Tourist Center, 2015 Nielsen Point Place",Twin Falls,ID,Twin Falls_ID,83301,USA,8,"42.598103, -114.456183","1,101",Open,28-Oct-15,SC,thread
"Truckee-Brockway Rd, CA",The Rock 11209 Brockway Rd,Truckee,CA,Truckee_CA,96161,USA,8,"39.321865, -120.1621","1,801",Open,23-Oct-15,SC,thread
"Gardnerville, NV","Topaz Lodge, 1979 US-395",Gardnerville,NV,Gardnerville_NV,89410,USA,6,"38.695341, -119.547596","1,579",Open,22-Oct-15,SC,thread
"Hinckley, MN",404 Fire Monument Rd,Hinckley,MN,Hinckley_MN,55037,USA,8,"46.009592, -92.93155",313,Open,21-Oct-15,SC,thread
"Baxter, MN",6967 Lake Forest Rd,Baxter,MN,Baxter_MN,56425,USA,8,"46.378868, -94.256413",369,Open,21-Oct-15,SC,thread
"Norfolk, VA",5900 E Virginia Beach Blvd,Norfolk,VA,Norfolk_VA,,USA,6,"36.858614, -76.206015",4,Open,18-Oct-15,SC,thread
"Dublin, CA",6701 Amador Plaza Rd,Dublin,CA,Dublin_CA,94568,USA,10,"37.702359, -121.92593",103,Open,17-Oct-15,SC,thread
"Price, UT",925 West Westwood Blvd,Price,UT,Price_UT,84501,USA,8,"39.600731, -110.831701","1,207",Open,16-Oct-15,SC,thread
"Seabrook, NH",700 Lafayette Rd,Seabrook,NH,Seabrook_NH,3874,USA,8,"42.895182, -70.869351",16,Open,09-Oct-15,SC,thread
